ACEH	1	ACEH BESAR	1824	prabowo-hatta	LHOKNGA	4580
ACEH	1	ACEH BESAR	1824	jokowi-jk	LHOKNGA	3111
ACEH	1	ACEH BESAR	1824	prabowo-hatta	INDRAPURI	6377
ACEH	1	ACEH BESAR	1824	jokowi-jk	INDRAPURI	3906
ACEH	1	ACEH BESAR	1824	prabowo-hatta	SEULIMEUM	4693
ACEH	1	ACEH BESAR	1824	jokowi-jk	SEULIMEUM	5158
ACEH	1	ACEH BESAR	1824	prabowo-hatta	MONTASIK	6373
ACEH	1	ACEH BESAR	1824	jokowi-jk	MONTASIK	3074
ACEH	1	ACEH BESAR	1824	prabowo-hatta	SUKAMAKMUR	4189
ACEH	1	ACEH BESAR	1824	jokowi-jk	SUKAMAKMUR	3170
ACEH	1	ACEH BESAR	1824	prabowo-hatta	DARUL IMARAH	11484
ACEH	1	ACEH BESAR	1824	jokowi-jk	DARUL IMARAH	7981
ACEH	1	ACEH BESAR	1824	prabowo-hatta	PEUKAN BADA	3778
ACEH	1	ACEH BESAR	1824	jokowi-jk	PEUKAN BADA	3662
ACEH	1	ACEH BESAR	1824	prabowo-hatta	MESJID RAYA	3001
ACEH	1	ACEH BESAR	1824	jokowi-jk	MESJID RAYA	3257
ACEH	1	ACEH BESAR	1824	prabowo-hatta	INGIN JAYA	8026
ACEH	1	ACEH BESAR	1824	jokowi-jk	INGIN JAYA	6351
ACEH	1	ACEH BESAR	1824	prabowo-hatta	BLANG BINTANG	3053
ACEH	1	ACEH BESAR	1824	jokowi-jk	BLANG BINTANG	2148
ACEH	1	ACEH JAYA	5286	prabowo-hatta	TEUNOM	3345
ACEH	1	ACEH JAYA	5286	jokowi-jk	TEUNOM	3199
ACEH	1	ACEH JAYA	5286	prabowo-hatta	KRUENG SABEE	3172
ACEH	1	ACEH JAYA	5286	jokowi-jk	KRUENG SABEE	3233
ACEH	1	ACEH JAYA	5286	prabowo-hatta	SETIA BAKTI	1729
ACEH	1	ACEH JAYA	5286	jokowi-jk	SETIA BAKTI	1593
ACEH	1	ACEH JAYA	5286	prabowo-hatta	SAMPOINIET	1453
ACEH	1	ACEH JAYA	5286	jokowi-jk	SAMPOINIET	1618
ACEH	1	ACEH JAYA	5286	prabowo-hatta	JAYA	5321
ACEH	1	ACEH JAYA	5286	jokowi-jk	JAYA	2147
ACEH	1	ACEH JAYA	5286	prabowo-hatta	PANGA	1458
ACEH	1	ACEH JAYA	5286	jokowi-jk	PANGA	1992
ACEH	1	ACEH JAYA	5286	prabowo-hatta	INDRA JAYA	2307
ACEH	1	ACEH JAYA	5286	jokowi-jk	INDRA JAYA	1233
ACEH	1	ACEH JAYA	5286	prabowo-hatta	DARUL HIKMAH	1779
ACEH	1	ACEH JAYA	5286	jokowi-jk	DARUL HIKMAH	1271
ACEH	1	ACEH JAYA	5286	prabowo-hatta	PASIE RAYA	1625
ACEH	1	ACEH JAYA	5286	jokowi-jk	PASIE RAYA	1659
ACEH	1	ACEH SELATAN	2	prabowo-hatta	BAKONGAN	922
ACEH	1	ACEH SELATAN	2	jokowi-jk	BAKONGAN	1187
ACEH	1	ACEH SELATAN	2	prabowo-hatta	KOTA BAHAGIA	1172
ACEH	1	ACEH SELATAN	2	jokowi-jk	KOTA BAHAGIA	1389
ACEH	1	ACEH SELATAN	2	prabowo-hatta	LABUHAN HAJI TIMUR	2126
ACEH	1	ACEH SELATAN	2	jokowi-jk	LABUHAN HAJI TIMUR	1974
ACEH	1	ACEH SELATAN	2	prabowo-hatta	LABUHAN HAJI BARAT	3584
ACEH	1	ACEH SELATAN	2	jokowi-jk	LABUHAN HAJI BARAT	3200
ACEH	1	ACEH SELATAN	2	prabowo-hatta	TRUMON TIMUR	1547
ACEH	1	ACEH SELATAN	2	jokowi-jk	TRUMON TIMUR	1243
ACEH	1	ACEH SELATAN	2	prabowo-hatta	KLUET TIMUR	2552
ACEH	1	ACEH SELATAN	2	jokowi-jk	KLUET TIMUR	1689
ACEH	1	ACEH SELATAN	2	prabowo-hatta	KLUET TENGAH	1708
ACEH	1	ACEH SELATAN	2	jokowi-jk	KLUET TENGAH	1561
ACEH	1	ACEH SELATAN	2	prabowo-hatta	BAKONGAN TIMUR	1027
ACEH	1	ACEH SELATAN	2	jokowi-jk	BAKONGAN TIMUR	1230
ACEH	1	ACEH SELATAN	2	prabowo-hatta	PASIE RAJA	3470
ACEH	1	ACEH SELATAN	2	jokowi-jk	PASIE RAJA	2925
ACEH	1	ACEH SELATAN	2	prabowo-hatta	TRUMON	950
ACEH	1	ACEH SELATAN	2	jokowi-jk	TRUMON	1174
ACEH	1	ACEH SELATAN	2	prabowo-hatta	TAPAKTUAN	7752
ACEH	1	ACEH SELATAN	2	jokowi-jk	TAPAKTUAN	3401
ACEH	1	ACEH SELATAN	2	prabowo-hatta	SAWANG	4676
ACEH	1	ACEH SELATAN	2	jokowi-jk	SAWANG	2743
ACEH	1	ACEH SELATAN	2	prabowo-hatta	SAMADUA	6333
ACEH	1	ACEH SELATAN	2	jokowi-jk	SAMADUA	2476
ACEH	1	ACEH SELATAN	2	prabowo-hatta	MEUKEK	5016
ACEH	1	ACEH SELATAN	2	jokowi-jk	MEUKEK	3676
